diagnosis_ids,regimen,category,drug,strength,dosage_form,quantity,sig,instructions_precautions
,adult,nsaid,Ibuprofen,400mg,tabs,30 (thirty),Take 1-2 tablets every 4-6 hours as needed for pain. Maximum dose is 8 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Ibuprofen,600mg,tabs,24 (twenty-four),Take 1 tablet every 4-6 hours as needed for pain. Maximum dose is 5 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Ibuprofen,800mg,tabs,20 (twenty),Take 1 tablet every 6-8 hours as needed for pain. Maximum dose is 4 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Naproxen Na ,275mg,tabs,24 (twenty-four),Take 1-2 tablets every 8 hours as needed for pain. Maximum dose is 6 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Naproxen Na ,375mg,tabs,20 (twenty),Take 1 tablet every 6-8 hours as needed for pain. Maximum dose is 4 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Naproxen Na ,550mg,tabs,15 (fifteen),Take 1 tablet every 8 hours as needed for pain. Maximum dose is 3 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Diclofenac Potassium (K),25mg,liquid caps,20 (twenty),Take 1-2 caps every 4-6 hours as needed for pain. Maximum dose is 8 capsules/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Diclofenac Potassium (K),50mg,tabs,20 (twenty),Take 1 tablet every 6-8 hours as needed for pain. Maximum dose is 4 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Etodolac,400mg,tabs,15 (fifteen),Take 1 tablet every 8 hours as needed for pain. Maximum dose is 3 tablets/24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,nsaid,Ketorolac,10mg,tabs,20 (twenty),Take 1 tablet every 6-8 hours as needed for pain. Maximum dose is 4 tablets/24 hours.,Take with full glass of water.Remain  upright for 20 minutes afterward.
,adult,nsaid,Diflunisal,500mg,tabs,15 (fifteen),Take two tablets stat. Then take 1 tablet every 8-12 hours as needed for pain. Maximum dose is 3 tablets per 24 hours.,Take with full glass of water. Remain upright for 20 minutes afterward.
,adult,Opiate/APAP Combinations,Codeine/APAP,30/300,tabs,20 (twenty),Take 1-2 tablets every 4-6 hours as needed for pain. Maximum dose is 12 tablets per 24 hours.,May cause drowsiness. Do not drive any vehicle and avoid alcohol. Avoid additional acetaminophen (APAP). Take with food.
,adult,Opiate/APAP Combinations,Hydrocodone/APAP,5/325,tabs,20 (twenty),Take 1-2 tablets every 4-6 hours as needed for pain. Maximum dose is 8 tablets/24 hours.,May cause drowsiness. Do not drive any vehicle and avoid alcohol. Avoid additional acetaminophen (APAP). Take with food.
,adult,Opiate/APAP Combinations,Oxycodone/APAP,5/325,tabs,20 (twenty),Take 1-2 tablets every 4-6 hours as needed for pain. Maximum dose is 8 tablets/24 hours.,May cause drowsiness. Do not drive any vehicle and avoid alcohol. Avoid additional acetaminophen (APAP) Take with food.